sample_id,partition,scaffold
mol_003719abf88cacaa,test,c1ccc2ccccc2c1
mol_005dc0045948b6fd,test,c1ccc2[nH]ccc2c1
mol_006730b97e307ff9,test,c1ccc2[nH]ccc2c1
mol_00c9a1cecef5d9d0,test,C1CCNC1
mol_00ffdeb4a5ae34db,test,C1=CCCCC1
mol_0145231e8c616e4a,test,c1c[nH]cn1
mol_015e752604967180,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_015ee56358d80b06,test,c1ccc(Cc2ccccc2)cc1
mol_01799c36f36d1260,test,C1=CC(c2ccccc2)C=CN1
mol_01dbda92f3f72996,test,c1ccc(Cc2ccccc2)cc1
mol_01f44b1a14a095c5,test,ACYCLIC:CCCOCCO
mol_032c65e17e4393e9,test,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
mol_0414751689808774,test,c1ccc2[nH]ccc2c1
mol_0444b630e6282650,test,O=C1CCCO1
mol_0455053514e1f2bb,test,c1ncncn1
mol_0467677607464022,test,c1ccc(Cc2ccccc2)cc1
mol_0513da8cec58d8f7,test,c1ccc(Cc2ccccc2)cc1
mol_05784e2ddd36e417,test,c1ccc(Cc2ccccc2)cc1
mol_0688bcdda7866903,test,c1ccc(Oc2ccccc2)cc1
mol_0758cef020fd3da2,test,c1nnc[nH]1
mol_0764fe1a78195b7d,test,c1ccc(Oc2ccccc2)cc1
mol_0859a6745b8c731a,test,C1=CCCCC1
mol_089ab51f23001bb9,test,C1CCNC1
mol_0966702016c5bc7f,test,O=c1cc(-c2ccccc2)oc2ccccc12
mol_09c4fb6d4c120c9d,test,c1c[nH]cn1
mol_0a66e5bd18d32afd,test,c1ccc(Nc2ccccc2)cc1
mol_0a703de4db0ddcc2,test,c1ccc2[nH]ccc2c1
mol_0ac9c3d0de06db24,test,c1cc[nH+]cc1
mol_0b1fdea4d186ffd3,test,O=C1C=CC(=O)C=C1
mol_0b3610d6793a3818,test,c1ccc(Cc2ccccc2)cc1
mol_0b4ee538cac61908,test,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
mol_0bae08d08c5b000e,test,O=c1ccc2ccccc2o1
mol_0bb4b6815422bd6e,test,c1ccc2c(c1)Nc1ccccc1S2
mol_0bcd17d26ce05b9b,test,C1CCNC1
mol_0c6ef69d092a936e,test,ACYCLIC:COCCOCCOCCOC
mol_0d37fad7c14f4836,test,c1ccc(Oc2ccccc2)cc1
mol_0dd55e4f408730d4,test,O=c1cc(-c2ccccc2)oc2ccccc12
mol_0df7b41dbe381803,test,c1cc[nH+]cc1
mol_0e0a0da548f32931,test,C1CCC2C(C1)CCC1C3CCCC3CCC21
mol_0e34a1ad074c9b84,test,c1ccc2[nH]ccc2c1
mol_0e8825f5939303d8,test,ACYCLIC:CC(C)C(O)C(C)(C)CO
mol_0f4a3c71995b3fee,test,c1ccc2ccccc2c1
mol_0f7f23d786efe52d,test,C=C1CCCCC1=CC=C1CCCC2CCCC12
mol_0f9cc5586e53fea1,test,c1ccc(Cc2ccccc2)cc1
